Objects
100
,,Global Angle ducker:ducker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00252245,-0.00953901,0.0019945,1340.51,-404.94,143.214
2,0,0.00230435,-0.00962372,0.00191032,1340.51,-404.951,143.234
3,0,0.00232034,-0.0098515,0.00184694,1340.51,-404.939,143.248
4,0,0.00238403,-0.0097456,0.00185881,1340.52,-404.942,143.24
5,0,0.00228996,-0.00962364,0.00184464,1340.51,-404.949,143.23
6,0,0.00230088,-0.00985231,0.00189353,1340.51,-404.953,143.241
7,0,0.00221498,-0.00971655,0.00186447,1340.51,-404.946,143.224
8,0,0.00262058,-0.00966479,0.00199906,1340.51,-404.935,143.233
9,0,0.00228336,-0.00953976,0.00200872,1340.51,-404.942,143.238
10,0,0.00216362,-0.009773,0.00182345,1340.52,-404.944,143.25
11,0,0.00188073,-0.0096601,0.00195823,1340.51,-404.94,143.236
12,0,0.00239337,-0.00950738,0.00193271,1340.51,-404.945,143.232
13,0,0.00231784,-0.00962594,0.00190526,1340.51,-404.948,143.214
14,0,0.00246456,-0.00960863,0.00188122,1340.51,-404.947,143.216
15,0,0.00253095,-0.00959641,0.00190963,1340.51,-404.937,143.236
16,0,0.00229136,-0.00963051,0.00192912,1340.51,-404.932,143.247
17,0,0.00217881,-0.00963439,0.00195115,1340.52,-404.941,143.229
18,0,0.00282113,-0.00979954,0.00180506,1340.51,-404.949,143.221
19,0,0.00225577,-0.00973856,0.00203435,1340.51,-404.949,143.23
20,0,0.00232099,-0.00969653,0.00191019,1340.51,-404.951,143.248
21,0,0.00199522,-0.00948457,0.00198605,1340.52,-404.927,143.233
22,0,0.00213644,-0.00970347,0.00189701,1340.51,-404.943,143.224
23,0,0.00249752,-0.00961342,0.00181186,1340.52,-404.951,143.239
24,0,0.00249364,-0.0096539,0.0018553,1340.52,-404.94,143.235
25,0,0.00217076,-0.00955727,0.00190461,1340.51,-404.944,143.238
26,0,0.00209628,-0.00951157,0.00194717,1340.51,-404.947,143.246
27,0,0.0018799,-0.00966053,0.00192957,1340.51,-404.942,143.238
28,0,0.0027526,-0.00974099,0.00178899,1340.51,-404.943,143.224
29,0,0.00198643,-0.00968087,0.001778,1340.51,-404.946,143.228
30,0,0.00231379,-0.0095544,0.00181441,1340.51,-404.949,143.227
31,0,0.00253961,-0.00970203,0.00185508,1340.51,-404.951,143.233
32,0,0.00227487,-0.00956447,0.001906,1340.51,-404.947,143.242
33,0,0.0022559,-0.00967052,0.00200973,1340.51,-404.944,143.239
34,0,0.00258951,-0.00976349,0.00197451,1340.51,-404.934,143.229
35,0,0.00233869,-0.00966239,0.00195163,1340.51,-404.945,143.231
36,0,0.00206773,-0.00960852,0.00182597,1340.51,-404.95,143.223
37,0,0.00235865,-0.00974477,0.00180982,1340.5,-404.945,143.213
38,0,0.00224206,-0.00955153,0.00187806,1340.52,-404.947,143.233
39,0,0.00230178,-0.00961623,0.00196217,1340.51,-404.932,143.235
40,0,0.00257853,-0.00962632,0.00202084,1340.51,-404.933,143.23
41,0,0.00260882,-0.00973931,0.00194463,1340.51,-404.934,143.222
42,0,0.00249138,-0.00967925,0.00184924,1340.51,-404.956,143.235
43,0,0.00267626,-0.00965573,0.00204498,1340.51,-404.959,143.232
44,0,0.00217676,-0.00959856,0.00196991,1340.52,-404.946,143.246
45,0,0.00231342,-0.00975089,0.00187339,1340.52,-404.927,143.244
46,0,0.00216901,-0.00961768,0.00190229,1340.51,-404.932,143.228
47,0,0.00217363,-0.00956417,0.00184803,1340.5,-404.95,143.217
48,0,0.00239083,-0.00949045,0.00177072,1340.52,-404.969,143.235
49,0,0.00227633,-0.00969104,0.00192603,1340.51,-404.954,143.241
50,0,0.00236036,-0.00953715,0.00186421,1340.51,-404.941,143.243
51,0,0.00194696,-0.00953004,0.0019839,1340.51,-404.932,143.239
52,0,0.00236847,-0.00965391,0.00181853,1340.51,-404.943,143.233
53,0,0.00224761,-0.00961582,0.00193287,1340.51,-404.951,143.23
54,0,0.00262126,-0.00963094,0.00197141,1340.51,-404.95,143.236
55,0,0.00217728,-0.00964273,0.00178649,1340.51,-404.948,143.238
56,0,0.00218652,-0.00954733,0.00195392,1340.51,-404.945,143.23
57,0,0.00197809,-0.00950739,0.00197785,1340.51,-404.935,143.231
58,0,0.00236747,-0.00959808,0.00199819,1340.51,-404.944,143.25
59,0,0.00291325,-0.00968698,0.00179331,1340.5,-404.95,143.231
60,0,0.00211786,-0.00956234,0.00191017,1340.51,-404.961,143.226
61,0,0.002397,-0.00979208,0.00177427,1340.51,-404.95,143.22
62,0,0.00231989,-0.00963749,0.00193303,1340.52,-404.94,143.237
63,0,0.0017718,-0.00966028,0.00189353,1340.51,-404.932,143.237
64,0,0.00236378,-0.00963308,0.0018764,1340.51,-404.934,143.246
65,0,0.00211699,-0.00974968,0.00183926,1340.52,-404.949,143.217
66,0,0.00295771,-0.00967846,0.00186735,1340.52,-404.964,143.243
67,0,0.00231845,-0.00954688,0.00212218,1340.52,-404.953,143.24
68,0,0.00197719,-0.00969361,0.00201381,1340.51,-404.943,143.247
69,0,0.0024017,-0.00960881,0.00199513,1340.51,-404.937,143.247
70,0,0.00209674,-0.00974665,0.00188045,1340.51,-404.939,143.234
71,0,0.00221868,-0.00978901,0.00184547,1340.51,-404.943,143.226
72,0,0.00251256,-0.00959457,0.00201834,1340.51,-404.949,143.224
73,0,0.00242168,-0.00961035,0.00194797,1340.51,-404.955,143.238
74,0,0.0022829,-0.0095975,0.00196664,1340.51,-404.941,143.231
75,0,0.00218525,-0.00956672,0.00210179,1340.51,-404.925,143.218
76,0,0.00230575,-0.00954932,0.00187529,1340.51,-404.941,143.222
77,0,0.00178807,-0.00953765,0.00204445,1340.51,-404.946,143.213
78,0,0.00222946,-0.00959579,0.00194647,1340.51,-404.955,143.241
79,0,0.00260147,-0.00951444,0.0020617,1340.51,-404.944,143.241
80,0,0.0022708,-0.00968466,0.00192986,1340.51,-404.937,143.232
81,0,0.00208046,-0.00960639,0.00195078,1340.51,-404.927,143.237
82,0,0.0023545,-0.0095092,0.0019639,1340.51,-404.93,143.232
83,0,0.00209456,-0.00964681,0.00184357,1340.51,-404.951,143.234
84,0,0.00211919,-0.00942073,0.0020753,1340.52,-404.96,143.235
85,0,0.00223881,-0.00956675,0.00184433,1340.51,-404.946,143.229
86,0,0.00207822,-0.00946029,0.00208416,1340.51,-404.938,143.234
87,0,0.00233782,-0.00954834,0.00199493,1340.51,-404.937,143.24
88,0,0.00218075,-0.00962271,0.0019097,1340.5,-404.945,143.232
89,0,0.00270932,-0.00958644,0.00193166,1340.51,-404.959,143.217
90,0,0.00246868,-0.0096933,0.00183986,1340.5,-404.953,143.214
91,0,0.00201436,-0.00959821,0.00194403,1340.51,-404.937,143.219
92,0,0.00228238,-0.00970757,0.00179286,1340.51,-404.937,143.228
93,0,0.00233934,-0.00959646,0.00183947,1340.51,-404.949,143.246
94,0,0.00227178,-0.00961056,0.00189941,1340.51,-404.938,143.234
95,0,0.00213341,-0.00942893,0.00197742,1340.51,-404.948,143.233
96,0,0.00196633,-0.00944568,0.00196169,1340.51,-404.953,143.215
97,0,0.0025447,-0.00963213,0.00193056,1340.51,-404.953,143.233
98,0,0.00238277,-0.00972602,0.00187557,1340.5,-404.94,143.224
99,0,0.00251584,-0.00982435,0.00187142,1340.51,-404.94,143.253
100,0,0.00227503,-0.0095606,0.00193378,1340.52,-404.934,143.242
101,0,0.00231536,-0.00969339,0.00187191,1340.51,-404.954,143.225
102,0,0.00262997,-0.009528,0.00197478,1340.51,-404.952,143.219
103,0,0.00295899,-0.009715,0.0018995,1340.51,-404.945,143.233
104,0,0.0022943,-0.00976285,0.00190181,1340.51,-404.94,143.239
105,0,0.00224792,-0.00969328,0.00193326,1340.51,-404.927,143.231
106,0,0.00232229,-0.00964923,0.00177298,1340.51,-404.947,143.221
