Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,1 18,,,1 19,,,1 20,,,1 21,,,1 22,,,1 23,,,1 24,,,1 25,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1611.18,-59.8873,22.8358,459.156,386.639,24.1237,824.666,1020.39,32.1486,1621.64,429.455,28.7073,1139,443.532,26.1858,2227.06,737.77,30.9484,2274.93,-56.9431,34.4206,546.383,-353.628,28.479,1896.39,-658.535,33.6491,1563.49,1126.8,26.1498,1124.6,-51.0114,23.3848,1232.62,-722.259,19.7155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1611.31,-59.7401,23.0455,459.145,386.63,24.1246,824.656,1020.38,32.1544,1621.93,429.669,28.7788,1139,443.487,26.2247,2226.98,738.205,30.4841,2274.94,-56.9599,34.4834,545.909,-353.059,28.3383,1896.27,-658.429,33.5578,1563.48,1126.8,26.1189,1125.73,-50.4896,24.0137,1232.64,-722.26,19.7128,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1611.31,-59.7473,23.0272,459.098,386.714,24.1122,824.683,1020.39,32.1877,1621.66,429.448,28.7226,1138.97,443.522,26.1992,2226.99,738.224,30.4513,2274.93,-56.9632,34.4745,545.909,-353.045,28.3151,1896.31,-658.429,33.5334,1563.51,1126.8,26.1719,1125.83,-50.408,24.0892,1232.7,-722.282,19.7481,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1611.29,-59.7765,23.0018,459.169,386.622,24.0962,824.673,1020.45,32.1734,1621.66,429.451,28.706,1139,443.51,26.1973,2226.97,738.216,30.4503,2274.94,-56.966,34.433,545.842,-353.052,28.2804,1896.31,-658.476,33.5432,1563.58,1126.76,26.1825,1125.78,-50.518,24.0163,1235.5,-721.178,21.356,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1611.19,-59.8783,22.8297,459.097,386.688,24.0627,824.681,1020.44,32.1115,1621.66,429.474,28.6957,1139.02,443.534,26.2016,2226.94,738.267,30.4158,2274.91,-56.9496,34.4521,545.906,-353.075,28.28,1896.33,-658.477,33.6133,1563.54,1126.78,26.1616,1124.58,-51.0456,23.3581,1235.23,-721.25,21.3128,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1611.29,-59.7602,22.9999,459.1,386.665,24.0406,824.681,1020.42,32.1242,1621.66,429.495,28.6948,1139.03,443.517,26.1785,2227.07,737.822,30.9256,2274.83,-57.0056,34.4194,545.941,-353.119,28.2825,1896.25,-658.434,33.4914,1563.57,1126.76,26.2281,1124.58,-51.0295,23.3669,1235.29,-721.271,21.2855,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1611.27,-59.7694,23.0167,459.167,386.673,24.0759,824.698,1020.44,32.1033,1621.65,429.498,28.6828,1138.99,443.538,26.1601,2227.07,737.867,30.8721,2274.84,-57.041,34.4715,545.848,-353.073,28.274,1896.32,-658.525,33.6254,1563.59,1126.75,26.2561,1125.66,-50.5846,23.9548,1235.49,-721.106,21.4285,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1611.26,-59.7671,22.9787,459.101,386.689,24.1166,824.708,1020.42,32.168,1621.67,429.503,28.6771,1138.99,443.566,26.1761,2226.92,738.308,30.3739,2274.74,-57.048,34.3783,546.425,-353.633,28.4313,1896.29,-658.403,33.513,1563.61,1126.76,26.2721,1125.62,-50.539,23.9617,1235.48,-721.134,21.3902,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1611.18,-59.8919,22.8387,459.133,386.641,24.0969,824.712,1020.42,32.1776,1621.68,429.516,28.686,1138.99,443.536,26.1548,2226.93,738.336,30.3605,2274.77,-57.0412,34.4036,546.363,-353.675,28.429,1896.3,-658.509,33.6011,1563.57,1126.76,26.2324,1125.67,-50.6298,23.9832,1235.19,-721.22,21.2542,,,,,,,,,,,,,,,,,,,,,,,,,,,
