Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00865292,-0.00176596,-0.0959825,958.982,-536.073,138.313
2,0,0.00857518,-0.00225397,-0.0960563,958.999,-536.071,138.32
3,0,0.00812528,-0.00192264,-0.0959132,958.991,-536.066,138.316
4,0,0.00832234,-0.0017791,-0.0958457,958.991,-536.071,138.315
5,0,0.00797475,-0.00219427,-0.0956942,958.987,-536.062,138.324
6,0,0.00804296,-0.00201631,-0.0959094,958.996,-536.072,138.33
7,0,0.00829263,-0.00219306,-0.0958849,958.998,-536.068,138.341
8,0,0.00838055,-0.00171128,-0.0954613,958.981,-536.058,138.302
9,0,0.00840049,-0.0015124,-0.0958328,958.981,-536.065,138.305
10,0,0.00870857,-0.00229995,-0.0959487,958.997,-536.073,138.325
11,0,0.00815474,-0.00181841,-0.0957263,958.99,-536.057,138.325
12,0,0.00803724,-0.00194991,-0.0957233,958.986,-536.048,138.312
13,0,0.00848243,-0.00213466,-0.0957722,958.983,-536.052,138.325
14,0,0.00873741,-0.00253838,-0.0959955,959.002,-536.074,138.339
15,0,0.00835228,-0.00186948,-0.0959264,958.99,-536.079,138.324
16,0,0.00818755,-0.00115679,-0.095563,958.967,-536.048,138.288
17,0,0.00843224,-0.00145621,-0.0958731,958.984,-536.058,138.296
18,0,0.00843009,-0.00154138,-0.0958732,958.982,-536.06,138.294
19,0,0.00826415,-0.00213398,-0.0959188,958.99,-536.069,138.327
20,0,0.00839951,-0.00167648,-0.095716,958.984,-536.062,138.307
21,0,0.00825892,-0.00186478,-0.0956513,958.982,-536.066,138.318
22,0,0.00876576,-0.00201755,-0.0958567,958.991,-536.062,138.317
23,0,0.00799532,-0.00188724,-0.0956202,958.991,-536.063,138.314
24,0,0.00834391,-0.00156547,-0.0958094,958.983,-536.064,138.312
25,0,0.00830141,-0.00196179,-0.0959084,958.989,-536.061,138.32
26,0,0.0080474,-0.00181164,-0.0957173,958.984,-536.057,138.306
27,0,0.00835416,-0.00224844,-0.095929,958.994,-536.066,138.312
28,0,0.00825676,-0.00203902,-0.0959219,958.985,-536.073,138.315
29,0,0.00820922,-0.00165191,-0.0956892,958.988,-536.06,138.316
30,0,0.0080066,-0.00218323,-0.0958425,958.989,-536.066,138.331
31,0,0.00864678,-0.00222441,-0.095907,958.987,-536.065,138.324
32,0,0.00795725,-0.0016882,-0.0959195,958.988,-536.063,138.301
33,0,0.00858155,-0.00194147,-0.0958108,958.995,-536.07,138.328
34,0,0.00849493,-0.00209048,-0.0958688,958.988,-536.058,138.328
35,0,0.00810982,-0.00162659,-0.0958742,958.985,-536.067,138.304
36,0,0.00862736,-0.00191944,-0.095976,958.99,-536.064,138.299
37,0,0.00821632,-0.00222991,-0.0958037,958.995,-536.076,138.334
38,0,0.00845829,-0.002079,-0.0957614,958.987,-536.072,138.312
39,0,0.00859066,-0.00184971,-0.0956637,958.985,-536.061,138.308
40,0,0.00833923,-0.00199162,-0.0957188,958.987,-536.051,138.306
41,0,0.00800451,-0.0018478,-0.0958793,958.987,-536.062,138.321
42,0,0.00841063,-0.00273728,-0.0957498,958.999,-536.059,138.339
43,0,0.00840528,-0.00164692,-0.0959426,958.979,-536.051,138.31
44,0,0.00777029,-0.00191532,-0.0957315,958.99,-536.062,138.312
45,0,0.00848918,-0.00234114,-0.0960355,958.983,-536.077,138.324
46,0,0.0081152,-0.0021947,-0.0955812,958.997,-536.068,138.331
47,0,0.00841254,-0.00161874,-0.0959913,958.981,-536.061,138.307
48,0,0.00845877,-0.0018947,-0.0958609,958.99,-536.057,138.316
49,0,0.00824138,-0.00158731,-0.09583,958.986,-536.043,138.312
50,0,0.00841642,-0.00169422,-0.0956212,958.988,-536.066,138.316
51,0,0.00833457,-0.00187582,-0.0960469,958.995,-536.074,138.33
52,0,0.00832414,-0.00202277,-0.0957494,958.994,-536.065,138.33
53,0,0.00831982,-0.00214359,-0.0959627,958.992,-536.063,138.317
54,0,0.0082929,-0.00167252,-0.0956255,958.98,-536.046,138.304
55,0,0.00839816,-0.00183545,-0.0959123,958.976,-536.073,138.295
56,0,0.00836437,-0.0021502,-0.0959426,958.989,-536.066,138.323
57,0,0.00837293,-0.00200034,-0.0958928,958.987,-536.079,138.323
58,0,0.00822501,-0.00172028,-0.0958789,958.984,-536.07,138.308
59,0,0.00855142,-0.00173629,-0.0959483,958.983,-536.065,138.307
60,0,0.00841863,-0.00177468,-0.0961074,958.985,-536.06,138.301
61,0,0.00831597,-0.00216999,-0.0957191,958.988,-536.054,138.31
62,0,0.00843211,-0.00230547,-0.0958912,958.996,-536.066,138.323
63,0,0.00825591,-0.00182767,-0.0960647,958.985,-536.067,138.317
64,0,0.00849942,-0.00183846,-0.0958484,958.99,-536.065,138.316
65,0,0.0083467,-0.00171652,-0.0959941,958.978,-536.063,138.303
66,0,0.00809031,-0.00215606,-0.0957878,958.992,-536.069,138.322
67,0,0.00795842,-0.00178519,-0.0957643,958.995,-536.071,138.31
68,0,0.00819135,-0.00179798,-0.0958019,958.991,-536.068,138.305
69,0,0.00869885,-0.00225267,-0.0960304,958.99,-536.064,138.316
70,0,0.00789604,-0.0015908,-0.0957142,958.982,-536.051,138.301
71,0,0.00830854,-0.00207032,-0.0959295,958.987,-536.055,138.318
72,0,0.00835258,-0.00158005,-0.0959359,958.976,-536.059,138.289
73,0,0.0083597,-0.00220036,-0.0959855,958.98,-536.064,138.302
74,0,0.00846661,-0.00167484,-0.0957375,958.979,-536.063,138.299
75,0,0.00840274,-0.00221931,-0.0958556,958.986,-536.063,138.321
76,0,0.00837538,-0.00164201,-0.095896,958.98,-536.063,138.306
77,0,0.00841131,-0.00196074,-0.0959119,958.987,-536.067,138.316
78,0,0.00863374,-0.00139551,-0.095992,958.977,-536.052,138.295
79,0,0.00867336,-0.00192261,-0.0957614,958.991,-536.057,138.321
80,0,0.00847678,-0.00152139,-0.0957156,958.972,-536.049,138.288
81,0,0.00850371,-0.00243304,-0.0959643,958.992,-536.068,138.322
82,0,0.00908845,-0.0028094,-0.0956261,958.978,-536.096,138.307
83,0,0.00835593,-0.0017411,-0.0958801,958.975,-536.059,138.304
84,0,0.00811105,-0.00182319,-0.0958127,958.986,-536.066,138.299
85,0,0.00835949,-0.00247037,-0.0959712,958.993,-536.065,138.331
86,0,0.00830214,-0.00220333,-0.0959332,958.986,-536.061,138.344
87,0,0.00827833,-0.00181398,-0.0958973,958.996,-536.075,138.325
88,0,0.00838702,-0.0016137,-0.0959901,958.985,-536.067,138.311
89,0,0.00851997,-0.0020216,-0.0959047,958.997,-536.067,138.319
90,0,0.00826793,-0.00182355,-0.0959786,958.982,-536.068,138.304
91,0,0.0081615,-0.00177402,-0.0958481,958.984,-536.059,138.301
92,0,0.00847594,-0.00200423,-0.0957912,958.983,-536.063,138.315
93,0,0.00807742,-0.00163357,-0.0957548,958.989,-536.076,138.307
94,0,0.00829607,-0.00152476,-0.0958946,958.984,-536.056,138.295
95,0,0.00829075,-0.00190162,-0.0959596,958.987,-536.059,138.315
96,0,0.00850109,-0.00154898,-0.0958091,958.981,-536.053,138.302
97,0,0.0086519,-0.00226851,-0.096066,959,-536.078,138.327
98,0,0.0088591,-0.00181887,-0.0958551,958.984,-536.068,138.307
99,0,0.00854505,-0.00145704,-0.0958153,958.973,-536.06,138.296
100,0,0.00843009,-0.00211037,-0.0958551,958.987,-536.065,138.325
101,0,0.0082488,-0.00233789,-0.0956968,958.987,-536.066,138.308
102,0,0.00847243,-0.00161456,-0.0957301,958.978,-536.053,138.302
103,0,0.00798261,-0.00229855,-0.0958211,958.996,-536.068,138.344
104,0,0.00852547,-0.00175272,-0.0954364,958.988,-536.063,138.315
105,0,0.00822879,-0.00190409,-0.0956479,958.995,-536.057,138.322
106,0,0.00867051,-0.00165936,-0.0960057,958.988,-536.051,138.304
107,0,0.00828108,-0.00150859,-0.0955856,958.975,-536.066,138.296
108,0,0.0082034,-0.00149288,-0.095845,958.988,-536.06,138.309
109,0,0.00845945,-0.0018572,-0.0958744,958.985,-536.056,138.314
110,0,0.00803583,-0.0016036,-0.0957392,958.985,-536.063,138.305
111,0,0.00826303,-0.00228374,-0.0958731,958.992,-536.066,138.311
112,0,0.00850805,-0.00199117,-0.0956306,958.985,-536.073,138.321
113,0,0.00806777,-0.00179513,-0.0958807,958.98,-536.064,138.313
114,0,0.0086058,-0.00183716,-0.0960112,958.98,-536.064,138.307
115,0,0.00797693,-0.00195546,-0.0957459,958.997,-536.056,138.319
116,0,0.00833724,-0.00226643,-0.0958752,958.997,-536.069,138.33
117,0,0.00846127,-0.00210881,-0.0958352,958.991,-536.071,138.318
118,0,0.00819907,-0.00158602,-0.0958327,958.98,-536.06,138.311
119,0,0.0082382,-0.00151356,-0.0958144,958.974,-536.046,138.309
120,0,0.00859076,-0.00224831,-0.0958001,958.994,-536.059,138.324
121,0,0.00829404,-0.00193745,-0.0958192,958.983,-536.072,138.303
122,0,0.00847732,-0.00235314,-0.0959125,958.992,-536.071,138.331
123,0,0.00843364,-0.00144727,-0.0955862,958.974,-536.064,138.294
124,0,0.00837232,-0.00177426,-0.0958144,958.985,-536.059,138.309
125,0,0.00824567,-0.00178839,-0.0956082,958.981,-536.056,138.3
126,0,0.00835491,-0.00133515,-0.095932,958.967,-536.06,138.293
127,0,0.00869247,-0.00200197,-0.0958712,958.982,-536.056,138.311
128,0,0.00813575,-0.00144952,-0.0958327,958.983,-536.072,138.293
129,0,0.0086114,-0.00183686,-0.0959611,958.982,-536.071,138.312
130,0,0.00849277,-0.0017756,-0.0958349,958.986,-536.063,138.31
131,0,0.00825656,-0.00228202,-0.095646,958.979,-536.051,138.321
132,0,0.00811573,-0.00218726,-0.0959846,958.987,-536.061,138.326
133,0,0.00840715,-0.00237777,-0.0959261,958.99,-536.072,138.332
134,0,0.00836877,-0.00185772,-0.095573,958.983,-536.066,138.304
135,0,0.00861187,-0.00264435,-0.0959889,959,-536.071,138.334
136,0,0.00832562,-0.00181745,-0.0957364,958.98,-536.064,138.309
137,0,0.00855179,-0.00167901,-0.0956027,958.981,-536.053,138.298
138,0,0.00833966,-0.00211794,-0.0957386,958.98,-536.048,138.318
139,0,0.0080929,-0.00182143,-0.0957965,958.985,-536.07,138.308
