Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1347.59,-54.2058,25.635,437.377,1087.34,17.9311,1069.06,1099.63,21.1989,2284.39,228.715,28.9406,1617.83,392.573,26.9439,781.393,446.938,22.9446,516.969,-8.14168,18.331,1132.25,-738.35,14.6612,1565.12,1103.64,24.5736,1772.52,-749.115,27.1074,500.775,-753.391,15.2609,-155.286,8.72597,19.8214
2,0,1347.6,-54.2004,25.6243,437.46,1087.27,17.9456,1069.06,1099.6,21.2016,2284.39,228.701,28.9256,1617.82,392.581,26.9227,781.369,446.988,22.8779,516.952,-8.14815,18.3291,1132.33,-738.35,14.7395,1565.13,1103.63,24.565,1772.5,-749.121,27.0596,502.857,-753.606,16.2738,-155.258,8.71215,19.7731
3,0,1347.6,-54.2037,25.6334,438.211,1086.74,18.3822,1069.07,1099.6,21.1954,2284.38,228.708,28.9085,1617.84,392.574,26.9286,781.332,446.992,22.878,516.763,-8.01654,18.2207,1132.23,-738.358,14.6273,1565.12,1103.65,24.5765,1772.49,-749.117,27.0652,502.9,-753.617,16.2996,-155.321,8.74089,19.7562
4,0,1347.59,-54.2117,25.6293,438.185,1086.75,18.3566,1069.06,1099.62,21.2279,2284.38,228.721,28.9299,1617.86,392.573,26.9482,781.346,447.032,22.9446,516.922,-8.13504,18.4036,1132.22,-738.355,14.6265,1565.11,1103.65,24.5477,1772.5,-749.116,27.0954,502.823,-753.644,16.2794,-155.307,8.72008,19.8162
5,0,1347.64,-54.1723,25.6509,436.529,1087.76,17.5433,1069.08,1099.61,21.2322,2284.37,228.711,28.9341,1617.85,392.58,26.9634,781.358,447.028,22.9866,516.822,-8.08807,18.3288,1132.22,-738.376,14.6682,1565.1,1103.64,24.5783,1772.48,-749.102,27.1098,502.919,-753.575,16.3386,-155.292,8.68156,19.8571
6,0,1347.67,-54.1694,25.6449,437.48,1087.19,17.9465,1069.09,1099.63,21.2583,2284.4,228.703,28.9394,1617.86,392.605,26.9645,781.44,447.014,22.9846,516.973,-8.14102,18.412,1132.23,-738.362,14.6507,1565.09,1103.64,24.5331,1772.5,-749.112,27.1494,502.808,-753.636,16.3297,-155.399,8.70765,19.7128
7,0,1347.72,-54.1093,25.6718,438.364,1086.44,18.506,1069.09,1099.66,21.2145,2284.36,228.705,28.8862,1617.86,392.599,26.9606,781.42,447.017,22.9903,517.073,-8.15004,18.4037,1132.2,-738.352,14.6296,1565.08,1103.63,24.5133,1772.48,-749.107,27.1334,502.686,-753.641,16.1853,-155.361,8.62151,19.8096
8,0,1347.68,-54.1315,25.6178,437.872,1086.95,18.2028,1069.06,1099.67,21.1843,2284.36,228.719,28.9013,1617.86,392.607,26.9521,781.369,447.083,22.9688,516.908,-8.09429,18.2975,1132.19,-738.38,14.6731,1565.09,1103.63,24.5217,1772.48,-749.149,27.1525,502.638,-753.647,16.1992,-155.387,8.66844,19.6564
9,0,1347.7,-54.1085,25.6472,437.547,1087.18,17.9645,1069.07,1099.66,21.2356,2284.39,228.712,28.9325,1617.87,392.618,26.9449,781.283,447.086,22.9913,517.003,-8.11434,18.4267,1132.17,-738.389,14.6672,1565.06,1103.64,24.5287,1772.48,-749.167,27.1401,502.575,-753.617,16.2124,-155.305,8.62554,19.6436
10,0,1347.73,-54.098,25.6849,437.52,1087.28,17.9569,1069.1,1099.64,21.2414,2284.34,228.729,28.8771,1617.85,392.605,26.9375,781.278,447.125,22.9757,517.002,-8.10057,18.4047,1132.19,-738.37,14.7219,1565.05,1103.61,24.5095,1772.45,-749.16,27.1736,502.768,-753.656,16.2886,-155.348,8.60693,19.527
11,0,1347.71,-54.1339,25.7183,437.538,1087.19,17.9725,1069.06,1099.69,21.2539,2284.37,228.719,28.9024,1617.87,392.617,26.9564,781.378,447.082,22.9843,516.844,-7.99973,18.4277,1132.19,-738.404,14.674,1565.06,1103.62,24.5006,1772.45,-749.155,27.2214,502.492,-753.721,16.1853,-155.398,8.61714,19.5864
12,0,1347.74,-54.1151,25.6856,438.179,1086.66,18.3545,1069.1,1099.67,21.2155,2284.29,228.703,28.8148,1617.88,392.623,26.9581,781.306,447.129,23.09,516.847,-7.9838,18.4026,1132.23,-738.381,14.734,1565.06,1103.64,24.4904,1772.49,-749.165,27.2257,502.609,-753.681,16.2143,-155.389,8.59037,19.6619
