Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0136926,0.00154152,-0.0158084,921.34,-518.985,138.121
2,0,0.00852914,0.00113137,-0.0153883,921.314,-519.125,137.982
3,0,0.0140705,0.00117782,-0.014783,921.325,-519.242,137.855
4,0,0.0132589,0.00120963,-0.0149547,921.307,-519.224,137.845
5,0,0.00995302,-0.00127908,-0.0133302,921.302,-519.314,137.748
6,0,0.0120826,-0.00334504,-0.0118506,921.304,-519.418,137.667
7,0,0.0106632,-0.00308948,-0.0117326,921.303,-519.441,137.709
8,0,0.0119983,-0.00292167,-0.0116991,921.299,-519.435,137.68
9,0,0.0116175,-0.00336928,-0.0117315,921.284,-519.441,137.655
10,0,0.0112501,-0.00298911,-0.0115817,921.286,-519.424,137.668
11,0,0.0114261,-0.00272289,-0.0115582,921.299,-519.415,137.682
12,0,0.0119134,-0.003219,-0.0117083,921.287,-519.43,137.667
13,0,0.0121515,-0.00320677,-0.0119204,921.298,-519.441,137.664
14,0,0.0109376,-0.00339066,-0.011717,921.308,-519.435,137.696
15,0,0.0122849,-0.00316543,-0.0116889,921.281,-519.419,137.652
16,0,0.0118464,-0.00323855,-0.0117439,921.28,-519.425,137.67
17,0,0.01171,-0.00352364,-0.0119064,921.281,-519.418,137.676
18,0,0.0116782,-0.00308148,-0.0117401,921.284,-519.424,137.662
19,0,0.0116027,-0.0031727,-0.0120263,921.288,-519.431,137.663
20,0,0.0112219,-0.00297583,-0.0114573,921.254,-519.424,137.664
21,0,0.0130068,-0.000678988,-0.0142512,921.291,-519.514,137.603
22,0,0.0132065,-0.000273827,-0.0145824,921.279,-519.494,137.594
23,0,0.0131142,-0.000531656,-0.0148679,921.256,-519.496,137.588
24,0,0.0149325,-0.000444959,-0.0158011,921.047,-519.54,137.504
25,0,0.0137194,0.000657946,-0.0152947,921.296,-519.75,137.415
26,0,0.013533,0.000475193,-0.0153995,921.285,-519.757,137.409
27,0,0.0134886,0.000739405,-0.0152219,921.284,-519.75,137.399
28,0,0.0137815,0.000515786,-0.015319,921.277,-519.738,137.382
29,0,0.0147443,0.00148545,-0.0155841,921.364,-519.767,137.529
30,0,0.0136958,0.00062159,-0.0155636,921.287,-519.757,137.408
31,0,0.0129789,0.000521646,-0.0153211,921.276,-519.745,137.415
32,0,0.0118067,0.000137123,-0.0148175,921.317,-519.775,137.468
33,0,0.0137492,0.000594762,-0.0155488,921.293,-519.748,137.392
34,0,0.0164377,0.00221708,-0.0159156,921.342,-519.748,137.473
35,0,0.0135533,0.000722199,-0.015255,921.294,-519.751,137.418
36,0,0.0137751,0.000543226,-0.0151817,921.285,-519.763,137.422
37,0,0.012664,0.000507936,-0.0149819,921.308,-519.744,137.418
38,0,0.0118083,-6.55148e-05,-0.0148694,921.318,-519.756,137.448
39,0,0.011331,8.61099e-05,-0.0150645,921.317,-519.749,137.448
40,0,0.0163918,0.00176326,-0.0160532,921.332,-519.761,137.47
41,0,0.0135678,0.000546694,-0.015455,921.286,-519.742,137.392
42,0,0.0131397,0.000350031,-0.015156,921.29,-519.763,137.416
43,0,0.0137477,9.2561e-05,-0.0151867,921.297,-519.742,137.412
44,0,0.0114008,-0.000399994,-0.0149967,921.329,-519.765,137.456
45,0,0.0112467,0.000390285,-0.0150256,921.328,-519.758,137.465
46,0,0.0122054,-7.15156e-05,-0.0152562,921.311,-519.774,137.458
47,0,0.0119163,0.000381989,-0.0153763,921.321,-519.745,137.467
48,0,0.0132655,0.000360655,-0.0154873,921.294,-519.753,137.412
49,0,0.013839,0.0002823,-0.0154274,921.293,-519.758,137.412
50,0,0.0136967,0.0006456,-0.0151201,921.295,-519.751,137.412
51,0,0.0114665,0.000136944,-0.0151403,921.318,-519.754,137.454
52,0,0.0129233,0.000418725,-0.0150703,921.286,-519.751,137.398
53,0,0.0137575,-1.24094e-06,-0.0153498,921.286,-519.761,137.396
54,0,0.013503,0.000554477,-0.0153424,921.285,-519.763,137.402
55,0,0.0135649,0.000269261,-0.0153544,921.281,-519.763,137.399
56,0,0.011577,9.39374e-05,-0.0152858,921.317,-519.757,137.45
57,0,0.0134184,0.000304181,-0.0152165,921.271,-519.753,137.386
58,0,0.0121957,6.5652e-05,-0.0150888,921.308,-519.757,137.432
59,0,0.0121884,-0.00298498,-0.0123991,921.395,-519.652,137.546
60,0,0.0104937,-0.00318286,-0.0119695,921.327,-519.649,137.548
61,0,0.011748,-0.00319624,-0.0118953,921.302,-519.629,137.512
62,0,0.00840195,-0.00344788,-0.0111516,921.364,-519.518,137.625
63,0,0.0104782,-0.00356202,-0.0118437,921.304,-519.428,137.7
64,0,0.010638,-0.00303524,-0.0117847,921.305,-519.433,137.703
65,0,0.0105077,-0.00362434,-0.0115303,921.293,-519.437,137.685
66,0,0.0123692,-0.00326359,-0.0119263,921.276,-519.439,137.666
67,0,0.0115366,-0.00319214,-0.0118999,921.287,-519.425,137.696
68,0,0.0123761,-0.00322334,-0.012017,921.281,-519.41,137.665
69,0,0.0109885,-0.00352188,-0.0116238,921.289,-519.425,137.679
70,0,0.0119131,-0.00304203,-0.0118215,921.287,-519.425,137.654
71,0,0.0116026,-0.0030274,-0.0117563,921.29,-519.43,137.683
72,0,0.0121627,-0.0029897,-0.0119273,921.275,-519.425,137.669
73,0,0.0122198,-0.00337524,-0.0117742,921.266,-519.406,137.648
74,0,0.0121254,-0.00289812,-0.0117927,921.294,-519.412,137.66
75,0,0.0106608,-0.00339434,-0.0117633,921.303,-519.437,137.691
76,0,0.0122105,-0.00314888,-0.0120258,921.277,-519.419,137.661
77,0,0.0103174,-0.00345856,-0.0114876,921.288,-519.441,137.703
78,0,0.0118447,-0.00311619,-0.0117261,921.287,-519.423,137.678
79,0,0.0115266,-0.00343175,-0.0114716,921.274,-519.417,137.65
80,0,0.0103187,-0.00330769,-0.0113956,921.313,-519.424,137.71
81,0,0.0103032,-0.00335499,-0.0116781,921.309,-519.434,137.72
82,0,0.0104987,-0.00365948,-0.01174,921.299,-519.432,137.695
83,0,0.0119106,-0.00323285,-0.011944,921.275,-519.429,137.658
84,0,0.0107309,-0.00341397,-0.0117747,921.302,-519.439,137.697
85,0,0.0113745,-0.00324491,-0.0114867,921.286,-519.425,137.664
86,0,0.0120537,-0.00315642,-0.0117738,921.274,-519.414,137.673
87,0,0.0120679,-0.00334402,-0.0116688,921.267,-519.439,137.643
88,0,0.0122874,-0.00303591,-0.0120154,921.278,-519.434,137.661
89,0,0.0122091,-0.00336898,-0.0117444,921.277,-519.425,137.652
90,0,0.011951,-0.00330623,-0.0121042,921.29,-519.418,137.68
91,0,0.0109078,-0.00362658,-0.0118827,921.308,-519.426,137.715
92,0,0.0120718,-0.00327539,-0.0119363,921.273,-519.412,137.667
93,0,0.0123785,-0.00340348,-0.0119858,921.264,-519.422,137.625
94,0,0.0101812,-0.00325172,-0.0117824,921.3,-519.428,137.684
95,0,0.0117939,-0.00309846,-0.0119034,921.283,-519.427,137.662
96,0,0.0121898,-0.00304224,-0.0118844,921.285,-519.425,137.688
97,0,0.0122658,-0.00336524,-0.0118001,921.266,-519.419,137.656
98,0,0.0108334,-0.00366275,-0.0114964,921.29,-519.438,137.672
99,0,0.0124113,-0.00329947,-0.0117393,921.264,-519.408,137.623
100,0,0.0118077,-0.00307147,-0.0118543,921.281,-519.432,137.658
101,0,0.0122091,-0.00310027,-0.0119085,921.273,-519.421,137.674
102,0,0.0110503,-0.00335936,-0.0117496,921.298,-519.432,137.717
103,0,0.0119817,-0.00317845,-0.0117576,921.275,-519.406,137.659
104,0,0.0114686,-0.00324592,-0.011633,921.283,-519.413,137.655
105,0,0.0123281,-0.00316519,-0.0118891,921.274,-519.431,137.652
106,0,0.0139742,-0.00183773,-0.0120893,921.319,-519.441,137.738
107,0,0.0107441,-0.00338579,-0.011744,921.295,-519.443,137.704
108,0,0.0123465,-0.00319581,-0.0118569,921.264,-519.42,137.643
109,0,0.0121328,-0.00316039,-0.0119489,921.273,-519.411,137.657
110,0,0.0116528,-0.0031765,-0.0118477,921.271,-519.416,137.644
111,0,0.0115186,-0.00296575,-0.0117236,921.28,-519.42,137.667
112,0,0.0119948,-0.00326167,-0.0117229,921.269,-519.425,137.655
113,0,0.0120012,-0.00294237,-0.0117992,921.283,-519.412,137.665
114,0,0.0120896,-0.00334479,-0.0116145,921.269,-519.431,137.658
115,0,0.0115913,-0.00347445,-0.0117353,921.272,-519.412,137.659
116,0,0.0119432,-0.00363464,-0.0117983,921.268,-519.434,137.648
