Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1347.57,-54.2217,25.5107,1617.85,392.569,26.8716,1586.97,1122.93,48.0427,1092.88,1093.23,38.9613,442.076,1070.69,42.356,515.731,-8.33251,18.5954,2304.44,226.651,38.5166,781.199,446.784,22.435,-157.961,-27.3789,35.4753,500.888,-753.316,15.2337,1132.65,-738.267,14.9055,1772.79,-749.296,27.0343,,,
2,0,1347.55,-54.2474,25.4808,1617.84,392.575,26.8456,1586.78,1123.1,47.7335,1092.87,1093.22,38.9695,442.033,1070.69,42.326,515.562,-8.27333,18.4731,2304.4,226.649,38.4606,781.204,446.825,22.4064,-157.857,-27.4002,35.3067,500.912,-753.362,15.2837,1132.52,-738.281,14.775,1772.78,-749.315,27.0223,,,
3,0,1347.62,-54.1848,25.5306,1617.84,392.569,26.8553,1586.97,1122.95,48.0269,1092.87,1093.21,38.9546,442.017,1070.72,42.2527,515.396,-8.26404,18.5302,2304.45,226.648,38.5335,781.249,446.795,22.4419,-158.301,-27.7857,34.827,500.912,-753.355,15.2767,1132.49,-738.308,14.7645,1772.72,-749.311,26.9958,,,
4,0,1347.62,-54.179,25.5414,1617.84,392.58,26.8482,1586.97,1122.92,48.0173,1092.86,1093.26,38.9575,442.045,1070.72,42.2342,515.724,-8.03556,18.9389,2304.46,226.637,38.5359,781.176,446.841,22.4032,-157.961,-27.4586,35.3374,500.791,-753.342,15.1762,1132.75,-738.203,14.9953,1772.78,-749.288,27.0505,,,
5,0,1347.67,-54.1515,25.5674,1617.85,392.58,26.859,1586.91,1122.94,47.9531,1092.86,1093.25,38.9584,442.188,1070.65,42.4833,515.514,-8.00872,18.8796,2304.43,226.658,38.4865,781.2,446.84,22.4302,-158.315,-27.7698,34.7024,500.909,-753.376,15.278,1132.54,-738.25,14.8499,1772.79,-749.327,27.0403,,,
6,0,1347.65,-54.1649,25.5519,1617.83,392.602,26.8452,1586.95,1122.91,48.0119,1092.86,1093.24,38.9593,442.2,1070.64,42.4559,515.465,-8.26703,18.5611,2304.43,226.667,38.5047,781.26,446.791,22.477,-157.827,-27.3321,35.1614,500.79,-753.408,15.2653,1132.53,-738.293,14.8478,1772.78,-749.335,27.0496,,,
7,0,1347.68,-54.1417,25.5634,1617.85,392.603,26.8719,1586.97,1122.93,48.0352,1092.86,1093.26,38.9735,442.213,1070.64,42.4952,515.701,-8.00498,19.0169,2304.44,226.624,38.5198,781.281,446.766,22.518,-158.35,-27.7543,34.8533,500.89,-753.318,15.3318,1132.49,-738.286,14.8505,1772.8,-749.352,27.1116,,,
8,0,1347.68,-54.1323,25.5438,1617.85,392.6,26.8517,1586.93,1122.9,48.0103,1092.82,1093.28,38.9519,442.218,1070.63,42.4577,515.68,-8.2242,18.6325,2304.42,226.64,38.4917,781.213,446.823,22.4892,-157.901,-27.4531,35.309,500.813,-753.355,15.3449,1132.54,-738.254,14.8707,1772.78,-749.355,27.079,,,
9,0,1347.73,-54.1273,25.5858,1617.86,392.62,26.8637,1586.96,1122.89,48.0111,1092.81,1093.29,38.9433,442.22,1070.66,42.4737,515.538,-8.15996,18.5629,2304.43,226.664,38.4766,781.195,446.83,22.5315,-157.944,-27.4496,35.1424,500.883,-753.358,15.2739,1132.45,-738.278,14.7911,1772.69,-749.402,27.0252,,,
10,0,1347.67,-54.1204,25.5578,1617.85,392.615,26.8588,1586.93,1122.89,47.9973,1092.77,1093.31,38.9578,442.237,1070.67,42.4871,515.614,-7.88751,18.9562,2304.44,226.676,38.5015,781.224,446.857,22.5414,-157.942,-27.476,35.1597,500.855,-753.367,15.3231,1132.55,-738.298,14.9037,1772.78,-749.355,27.1334,,,
11,0,1347.75,-54.1133,25.5704,1617.86,392.616,26.851,1586.99,1122.91,48.0609,1092.9,1093.23,38.9462,442.281,1070.65,42.5374,515.539,-8.15981,18.5839,2304.45,226.638,38.5512,781.213,446.912,22.5201,-158.013,-27.4555,35.2786,500.747,-753.365,15.2946,1132.45,-738.265,14.8106,1772.81,-749.398,27.1791,,,
12,0,1347.68,-54.0252,25.5101,1617.83,392.622,26.8397,1586.95,1122.85,48.0229,1092.85,1093.24,38.9307,442.412,1070.6,42.7071,515.635,-8.2332,18.7298,2304.45,226.75,38.6476,781.195,446.862,22.5144,-157.939,-27.4212,35.2432,500.727,-753.435,15.2972,1132.42,-738.284,14.8715,1772.81,-749.374,27.1848,,,
13,0,1348.59,-53.7918,25.9606,1617.85,392.589,26.8035,1586.9,1122.93,47.9936,1092.83,1093.26,38.933,442.502,1070.54,42.8001,515.572,-8.14388,18.758,2304.45,226.775,38.6205,781.206,446.881,22.5062,-157.981,-27.4361,35.2556,500.966,-753.417,15.3933,1132.54,-738.273,14.9255,1772.56,-749.279,27.1117,,,
14,0,1348.57,-53.8634,25.9785,1617.75,392.45,26.5407,1586.67,1122.95,47.3923,1092.76,1093.29,38.9295,442.485,1070.56,42.728,515.705,-7.81459,19.1396,2304.46,226.773,38.6112,781.235,446.836,22.5064,-157.969,-27.5019,35.143,500.84,-753.433,15.3631,1132.46,-738.267,14.8565,1772.62,-749.259,27.1287,,,
15,0,1348.56,-53.8553,25.929,1617.73,392.45,26.54,1586.92,1122.82,47.7479,1092.87,1093.25,38.9537,442.505,1070.56,42.7836,515.668,-8.13507,18.7383,2304.49,226.784,38.6636,781.186,446.883,22.5777,-157.964,-27.414,35.2539,500.792,-753.392,15.3433,1132.51,-738.292,14.8621,1772.57,-749.249,27.0591,,,
16,0,1348.58,-53.8528,25.9401,1617.74,392.438,26.5455,1586.9,1122.86,47.7353,1092.81,1093.31,38.9601,442.357,1070.62,42.645,515.645,-7.98314,19.1383,2304.46,226.766,38.6684,781.144,446.918,22.558,-158.022,-27.4899,35.211,500.807,-753.432,15.389,1132.44,-738.3,14.865,1772.58,-749.26,27.1267,,,
17,0,1348.65,-53.8259,26.0277,1617.75,392.438,26.5448,1586.87,1122.82,47.6966,1092.76,1093.27,38.9623,442.432,1070.54,42.7196,515.531,-8.07601,18.7528,2304.45,226.774,38.6734,781.269,446.916,22.5256,-157.88,-27.4046,35.3122,500.934,-753.514,15.3628,1132.49,-738.275,14.8701,1772.55,-749.254,27.1434,,,
18,0,1348.59,-53.8559,25.9485,1617.75,392.448,26.5465,1586.86,1122.81,47.6545,1092.89,1093.24,38.9415,442.429,1070.57,42.6954,515.663,-8.17507,18.6995,2304.5,226.759,38.7266,781.234,446.901,22.5359,-157.867,-27.4088,35.1759,500.898,-753.357,15.4069,1132.48,-738.291,14.8619,1772.54,-749.252,27.073,,,
19,0,1348.59,-53.8278,25.9385,1617.75,392.451,26.5456,1586.9,1122.84,47.7048,1092.81,1093.29,38.9147,442.406,1070.59,42.6282,515.552,-8.09382,18.6311,2304.43,226.767,38.6582,781.206,446.793,22.538,-157.952,-27.4516,35.265,501.103,-753.413,15.4543,1132.49,-738.305,14.8848,1772.54,-749.252,27.0818,,,
20,0,1348.59,-53.8447,25.9515,1617.75,392.423,26.5365,1586.97,1122.81,47.7864,1092.73,1093.33,38.9337,442.386,1070.58,42.6589,515.551,-8.18327,18.7445,2304.47,226.788,38.6992,781.103,446.884,22.5684,-157.933,-27.3898,35.2471,500.914,-753.476,15.393,1132.37,-738.231,14.7221,1772.53,-749.227,27.1043,,,
21,0,1348.58,-53.8314,25.9655,1617.74,392.449,26.5382,1586.93,1122.81,47.785,1092.75,1093.33,38.971,442.481,1070.59,42.7563,515.619,-7.91651,19.0492,2304.47,226.797,38.7384,781.125,446.933,22.5496,-157.895,-27.3861,35.298,500.689,-753.392,15.2383,1132.52,-738.283,14.9251,1772.53,-749.248,27.1048,,,
22,0,1348.51,-53.8552,26.0089,1617.76,392.447,26.5524,1586.91,1122.81,47.7728,1092.89,1093.25,38.9677,442.474,1070.56,42.8108,515.576,-8.1075,18.7358,2304.44,226.807,38.6955,781.175,446.847,22.5726,-157.917,-27.4213,35.2753,500.82,-753.439,15.3997,1132.46,-738.282,14.8872,1772.76,-749.023,27.0182,,,
23,0,1348.58,-53.8298,25.9093,1617.73,392.44,26.5253,1587.01,1122.81,47.8026,1092.74,1093.33,38.9256,442.394,1070.59,42.6896,515.637,-8.18926,18.69,2304.46,226.807,38.693,781.129,446.894,22.5223,-158.285,-27.7708,34.6206,500.92,-753.485,15.3966,1132.43,-738.307,14.8607,1772.66,-749.11,27.031,,,
