Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0157675,-0.00119881,-0.00918533,958.802,-524.73,137.998
2,0,0.0151761,-0.000698293,-0.00901485,958.809,-524.715,138.001
3,0,0.0155351,-0.00116559,-0.00877761,958.807,-524.729,138.012
4,0,0.0156236,-0.000911164,-0.00874307,958.806,-524.73,138.02
5,0,0.0157487,-0.00144235,-0.0090374,958.81,-524.725,138.016
6,0,0.0145969,-0.000539668,-0.00855716,958.818,-524.749,138.047
7,0,0.0158773,-0.00108168,-0.00910245,958.802,-524.732,138.005
8,0,0.0154374,-0.00071724,-0.00883323,958.794,-524.73,138.004
9,0,0.0159382,-0.000969888,-0.00924205,958.793,-524.71,138.004
10,0,0.0158336,-0.000825876,-0.00889787,958.796,-524.719,138.007
11,0,0.0153986,-0.000697965,-0.00898983,958.807,-524.73,138.014
12,0,0.0160501,-0.000971079,-0.00904839,958.8,-524.728,138.013
13,0,0.0158121,-0.000950588,-0.00881323,958.804,-524.745,138.007
14,0,0.0122363,-0.00259778,-0.00810294,958.748,-524.749,137.906
15,0,0.016067,-0.00100627,-0.00889198,958.806,-524.729,137.997
16,0,0.0160585,-0.000808678,-0.00891691,958.796,-524.719,138.004
17,0,0.0154741,-0.000708304,-0.00890049,958.795,-524.722,138.016
18,0,0.0155371,-0.00112861,-0.00884057,958.809,-524.743,138.028
19,0,0.0159194,-0.000946808,-0.00922188,958.802,-524.713,138.002
20,0,0.015533,-0.000968168,-0.00907808,958.8,-524.724,137.996
21,0,0.0125873,-0.00283919,-0.00808317,958.745,-524.748,137.905
22,0,0.0155825,-0.000921321,-0.00894478,958.798,-524.728,138.01
23,0,0.0158345,-0.000750092,-0.00899309,958.797,-524.716,138.014
24,0,0.0160411,-0.000613554,-0.00913801,958.795,-524.718,138.018
25,0,0.0155523,-0.000965709,-0.00878186,958.81,-524.733,138.002
26,0,0.0120598,-0.0028105,-0.00810101,958.753,-524.753,137.896
27,0,0.0156373,-0.000983259,-0.00910717,958.804,-524.714,138.005
28,0,0.0157555,-0.000651095,-0.00877777,958.801,-524.731,138.005
29,0,0.0155676,-0.00111677,-0.00895314,958.806,-524.734,138.026
30,0,0.0157904,-0.000932557,-0.00890292,958.793,-524.733,138.012
31,0,0.0158996,-0.000654717,-0.00916794,958.791,-524.73,137.99
32,0,0.0157339,-0.000767685,-0.00914294,958.802,-524.714,137.997
33,0,0.0157755,-0.00108804,-0.00868113,958.808,-524.738,138.003
34,0,0.0123382,-0.0030195,-0.00809193,958.752,-524.744,137.92
35,0,0.0156609,-0.00110714,-0.00891468,958.802,-524.722,138.032
36,0,0.0152078,-0.00121312,-0.00903648,958.81,-524.728,138.018
37,0,0.0155882,-0.000851788,-0.00875017,958.81,-524.737,137.997
38,0,0.0160137,-0.00098634,-0.00921338,958.795,-524.716,137.996
39,0,0.0157003,-0.00103086,-0.0088116,958.793,-524.735,138.006
40,0,0.0160306,-0.00114145,-0.00882626,958.794,-524.722,138.019
41,0,0.0159917,-0.000754835,-0.00849769,958.802,-524.738,138
42,0,0.0153509,-0.000985565,-0.00897434,958.808,-524.73,138.009
43,0,0.0154853,-0.000895415,-0.00878614,958.795,-524.736,137.996
44,0,0.0158847,-0.0013797,-0.00909199,958.799,-524.724,138.009
45,0,0.0157894,-0.00124317,-0.00909275,958.804,-524.713,138.016
46,0,0.0155984,-0.000961239,-0.00891329,958.804,-524.72,138.018
47,0,0.0154789,-0.000885651,-0.00902141,958.802,-524.722,138.005
48,0,0.0154701,-0.000777519,-0.00888824,958.801,-524.732,138.011
49,0,0.0119658,-0.00295553,-0.00809976,958.754,-524.754,137.916
50,0,0.01594,-0.00113568,-0.0088392,958.808,-524.737,138.009
51,0,0.0154617,-0.00103672,-0.00892677,958.809,-524.724,138.013
52,0,0.0158051,-0.000989787,-0.00892907,958.802,-524.713,138.002
53,0,0.0156093,-0.000974467,-0.00877355,958.799,-524.727,138.008
54,0,0.0158322,-0.000968915,-0.00906474,958.8,-524.729,138.018
55,0,0.0154707,-0.000902142,-0.00880665,958.806,-524.739,138.006
56,0,0.0158469,-0.000928493,-0.00865033,958.799,-524.734,137.988
57,0,0.0121659,-0.00291772,-0.00826837,958.751,-524.739,137.892
58,0,0.0155067,-0.00107064,-0.00885013,958.802,-524.731,138.023
59,0,0.0161534,-0.000785453,-0.00887783,958.794,-524.716,138.018
60,0,0.0162374,-0.000817479,-0.00913653,958.795,-524.717,138.006
61,0,0.0156839,-0.000869379,-0.00901228,958.788,-524.729,137.997
62,0,0.0156301,-0.000659192,-0.00887329,958.794,-524.734,137.99
63,0,0.0162931,-0.00116494,-0.00889374,958.796,-524.719,138.006
64,0,0.0126492,-0.00268808,-0.00806936,958.748,-524.739,137.917
65,0,0.0162397,-0.000755758,-0.00919134,958.794,-524.716,137.991
66,0,0.0157739,-0.00067712,-0.00907319,958.79,-524.727,137.992
67,0,0.0153148,-0.000975426,-0.00890002,958.791,-524.728,137.994
68,0,0.0156561,-0.0011056,-0.00891566,958.802,-524.731,138.018
69,0,0.0158292,-0.00081509,-0.0089687,958.808,-524.727,138.022
70,0,0.0155674,-0.000646628,-0.00897068,958.796,-524.71,138.002
71,0,0.0128156,-0.00279337,-0.00826738,958.742,-524.743,137.902
72,0,0.0155536,-0.000932175,-0.00864512,958.808,-524.746,138.02
73,0,0.0137974,-0.00286097,-0.00845172,958.772,-524.749,137.969
74,0,0.0160106,-0.0011388,-0.00913829,958.796,-524.724,138.008
75,0,0.0159972,-0.00101052,-0.00904449,958.803,-524.721,138.007
76,0,0.0154717,-0.000733509,-0.00873315,958.8,-524.728,138
77,0,0.0153899,-0.00106013,-0.00877102,958.812,-524.735,138.016
78,0,0.0155386,-0.000730806,-0.00912998,958.803,-524.721,138.011
79,0,0.0159003,-0.000869143,-0.00902999,958.799,-524.728,138.008
80,0,0.015703,-0.000532695,-0.00887393,958.798,-524.731,138.004
81,0,0.0157079,-0.000835474,-0.00873375,958.795,-524.727,137.996
82,0,0.011992,-0.00273245,-0.00817214,958.754,-524.741,137.898
83,0,0.0122245,-0.00267127,-0.00813716,958.746,-524.738,137.902
84,0,0.0154831,-0.000937723,-0.00869804,958.806,-524.731,138.006
85,0,0.0158549,-0.00112626,-0.00893665,958.794,-524.738,137.996
86,0,0.0159175,-0.00111401,-0.00890273,958.801,-524.731,138.004
87,0,0.0155126,-0.00108412,-0.00873616,958.803,-524.731,138.017
88,0,0.0156509,-0.000915102,-0.00889479,958.804,-524.727,138.01
89,0,0.0163015,-0.00102086,-0.00894439,958.798,-524.733,138.009
90,0,0.0154506,-0.000768648,-0.00862201,958.806,-524.739,137.997
91,0,0.015987,-0.000823862,-0.00902363,958.788,-524.717,137.996
92,0,0.0153182,-0.00117719,-0.00890926,958.805,-524.721,138.01
