Objects
100
,,Global Angle quackgpt:quackgpt,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0067438,-0.00367317,0.0497074,1305.39,-408.186,143.618
2,0,-0.00803577,-0.00291828,0.0500449,1305.4,-408.194,143.65
3,0,-0.00600187,-0.00371397,0.0496441,1305.39,-408.196,143.625
4,0,-0.00773978,-0.00302816,0.049947,1305.39,-408.206,143.643
5,0,-0.00647285,-0.00366253,0.0497067,1305.39,-408.204,143.618
6,0,-0.00633475,-0.00371844,0.0496601,1305.4,-408.191,143.629
7,0,-0.00604097,-0.00377105,0.049651,1305.38,-408.195,143.614
8,0,-0.00683002,-0.00352418,0.0499799,1305.39,-408.187,143.626
9,0,-0.00575822,-0.00353124,0.0496403,1305.38,-408.186,143.605
10,0,-0.00642848,-0.00371806,0.0495693,1305.39,-408.187,143.613
11,0,-0.00556295,-0.00356912,0.0495169,1305.38,-408.202,143.625
12,0,-0.00667948,-0.00369736,0.0497211,1305.39,-408.198,143.632
13,0,-0.00600945,-0.00375016,0.0496581,1305.39,-408.201,143.6
14,0,-0.00659175,-0.00370541,0.0497465,1305.38,-408.196,143.597
15,0,-0.00649951,-0.00363231,0.0496665,1305.39,-408.183,143.602
16,0,-0.00629271,-0.00373198,0.0495991,1305.38,-408.204,143.632
17,0,-0.00641494,-0.00385726,0.0496629,1305.39,-408.179,143.628
18,0,-0.00787459,-0.00315382,0.0498996,1305.4,-408.22,143.645
19,0,-0.00851651,-0.00301672,0.0500077,1305.41,-408.207,143.659
20,0,-0.00715772,-0.00393756,0.0497025,1305.4,-408.198,143.632
21,0,-0.00652239,-0.00382736,0.049757,1305.39,-408.179,143.625
22,0,-0.00705831,-0.00378421,0.0497743,1305.39,-408.189,143.631
23,0,-0.00615015,-0.00367792,0.0496376,1305.39,-408.193,143.615
24,0,-0.0087382,-0.00280178,0.0500643,1305.38,-408.267,143.607
25,0,-0.00830611,-0.00273336,0.0501636,1305.41,-408.223,143.659
26,0,-0.00677692,-0.00341612,0.0497641,1305.38,-408.195,143.634
27,0,-0.00755161,-0.00288928,0.0501106,1305.39,-408.203,143.651
28,0,-0.00676669,-0.00369743,0.0497996,1305.39,-408.18,143.628
29,0,-0.00773265,-0.00312815,0.0498239,1305.4,-408.207,143.639
30,0,-0.00641298,-0.00382908,0.0497271,1305.39,-408.188,143.603
31,0,-0.00696972,-0.00279673,0.0496959,1305.37,-408.26,143.63
32,0,-0.00691108,-0.00370889,0.0498522,1305.38,-408.195,143.631
33,0,-0.0073224,-0.00386273,0.0499213,1305.39,-408.189,143.622
34,0,-0.00672838,-0.00374983,0.0496687,1305.39,-408.202,143.632
35,0,-0.00649979,-0.00360139,0.0495861,1305.39,-408.189,143.626
36,0,-0.00634947,-0.00367471,0.0495896,1305.38,-408.196,143.597
37,0,-0.00637898,-0.00368857,0.0496762,1305.39,-408.188,143.608
38,0,-0.00644149,-0.0037359,0.0497014,1305.39,-408.191,143.635
39,0,-0.00684852,-0.00378809,0.0498702,1305.39,-408.198,143.624
40,0,-0.00738714,-0.00288115,0.0500203,1305.4,-408.19,143.643
41,0,-0.00574357,-0.00381006,0.0493654,1305.36,-408.253,143.594
42,0,-0.00698878,-0.00371161,0.0497302,1305.38,-408.204,143.627
43,0,-0.00768956,-0.002883,0.0501773,1305.4,-408.196,143.64
44,0,-0.00681496,-0.00361986,0.0498512,1305.39,-408.188,143.613
45,0,-0.00604832,-0.00374226,0.0496371,1305.39,-408.19,143.617
46,0,-0.00651532,-0.00375228,0.0495541,1305.38,-408.183,143.609
47,0,-0.00801829,-0.00274931,0.0502783,1305.4,-408.205,143.656
48,0,-0.00702636,-0.00377422,0.0499412,1305.4,-408.192,143.639
49,0,-0.00624907,-0.00374649,0.0494911,1305.38,-408.196,143.622
50,0,-0.00699801,-0.0037994,0.049802,1305.39,-408.186,143.627
51,0,-0.00601845,-0.00378513,0.0497038,1305.37,-408.197,143.611
52,0,-0.00704807,-0.0038296,0.0498998,1305.39,-408.191,143.63
53,0,-0.00679735,-0.00392281,0.0498533,1305.39,-408.193,143.625
54,0,-0.0076608,-0.00280206,0.0500998,1305.39,-408.195,143.637
55,0,-0.00681096,-0.00370533,0.0496825,1305.39,-408.189,143.617
56,0,-0.00618347,-0.00363979,0.0497504,1305.38,-408.207,143.615
57,0,-0.00619167,-0.00382585,0.0495121,1305.38,-408.194,143.603
58,0,-0.00634734,-0.00371279,0.0497745,1305.39,-408.182,143.609
59,0,-0.00643265,-0.00370196,0.0496918,1305.38,-408.182,143.605
60,0,-0.00642136,-0.00389101,0.0497429,1305.38,-408.186,143.596
61,0,-0.00667569,-0.00389831,0.0498171,1305.39,-408.194,143.635
62,0,-0.00649897,-0.00392568,0.0495321,1305.38,-408.188,143.618
63,0,-0.00621325,-0.0037235,0.0495605,1305.38,-408.199,143.617
64,0,-0.00632471,-0.00380502,0.0495609,1305.38,-408.193,143.591
65,0,-0.00655384,-0.00356888,0.0498098,1305.38,-408.197,143.618
66,0,-0.00690709,-0.00393971,0.0497248,1305.39,-408.188,143.627
67,0,-0.00716734,-0.00311121,0.0496758,1305.38,-408.267,143.617
68,0,-0.00782249,-0.00313409,0.0500359,1305.41,-408.193,143.66
69,0,-0.00635281,-0.00366259,0.0497391,1305.39,-408.192,143.621
70,0,-0.00637989,-0.00398039,0.0496012,1305.38,-408.193,143.606
71,0,-0.00660882,-0.00366452,0.0498182,1305.39,-408.194,143.628
72,0,-0.006728,-0.00366867,0.0498074,1305.39,-408.191,143.632
73,0,-0.00578013,-0.00378122,0.0494733,1305.38,-408.194,143.599
74,0,-0.00654615,-0.00375675,0.0498724,1305.39,-408.183,143.609
75,0,-0.00831651,-0.00308863,0.0501566,1305.41,-408.195,143.663
76,0,-0.00632783,-0.00351509,0.0496563,1305.37,-408.194,143.602
77,0,-0.00647633,-0.00369617,0.0497146,1305.38,-408.183,143.604
78,0,-0.00664059,-0.00374182,0.0497043,1305.38,-408.19,143.606
79,0,-0.00643905,-0.00384231,0.0497458,1305.38,-408.189,143.598
